SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
ANDAMAN & NICOBAR ISLANDS,1901.00,49.20,87.10,29.20,2.30,528.80,517.50,365.10,481.10,332.60,388.50,558.20,33.60,3373.20
ANDAMAN & NICOBAR ISLANDS,1902.00,0.00,159.80,12.20,0.00,446.10,537.10,228.90,753.70,666.20,197.20,359.00,160.50,3520.70
ANDAMAN & NICOBAR ISLANDS,1903.00,12.70,144.00,0.00,1.00,235.10,479.90,728.40,326.70,339.00,181.20,284.40,225.00,2957.40
ANDAMAN & NICOBAR ISLANDS,1904.00,9.40,14.70,0.00,202.40,304.50,495.10,502.00,160.10,820.40,222.20,308.70,40.10,3079.60
ANDAMAN & NICOBAR ISLANDS,1905.00,1.30,0.00,3.30,26.90,279.50,628.70,368.70,330.50,297.00,260.70,25.40,344.70,2566.70
ANDAMAN & NICOBAR ISLANDS,1906.00,36.60,0.00,0.00,0.00,556.10,733.30,247.70,320.50,164.30,267.80,128.90,79.20,2534.40
ANDAMAN & NICOBAR ISLANDS,1907.00,110.70,0.00,113.30,21.60,616.30,305.20,443.90,377.60,200.40,264.40,648.90,245.60,3347.90
ANDAMAN & NICOBAR ISLANDS,1908.00,20.90,85.10,0.00,29.00,562.00,693.60,481.40,699.90,428.80,170.70,208.10,196.90,3576.40
ANDAMAN & NICOBAR ISLANDS,1910.00,26.60,22.70,206.30,89.30,224.50,472.70,264.30,337.40,626.60,208.20,267.30,153.50,2899.40
ANDAMAN & NICOBAR ISLANDS,1911.00,0.00,8.40,0.00,122.50,327.30,649.00,253.00,187.10,464.50,333.80,94.50,247.10,2687.20
ANDAMAN & NICOBAR ISLANDS,1912.00,583.70,0.80,0.00,21.90,140.70,549.80,468.90,370.30,386.20,318.70,117.20,2.30,2960.50
ANDAMAN & NICOBAR ISLANDS,1913.00,84.80,0.50,1.30,2.50,190.70,530.00,280.80,205.80,580.10,288.80,133.00,67.50,2365.80
ANDAMAN & NICOBAR ISLANDS,1914.00,0.00,0.00,0.00,37.70,298.80,383.30,792.80,520.50,310.80,139.80,184.40,289.70,2957.80
ANDAMAN & NICOBAR ISLANDS,1915.00,45.00,56.70,33.30,40.90,170.20,334.70,269.00,317.20,429.80,468.10,258.40,318.00,2741.30
ANDAMAN & NICOBAR ISLANDS,1916.00,0.00,0.00,0.00,0.50,487.40,450.10,317.30,425.00,561.20,369.70,192.60,133.70,2937.50
ANDAMAN & NICOBAR ISLANDS,1917.00,8.00,3.60,112.00,4.50,295.90,301.10,394.80,437.40,471.80,238.10,108.30,236.90,2612.40
ANDAMAN & NICOBAR ISLANDS,1918.00,77.40,6.90,11.40,10.70,729.30,710.80,200.90,455.40,303.30,227.00,366.90,175.00,3275.00
ANDAMAN & NICOBAR ISLANDS,1919.00,10.20,18.00,0.00,35.50,283.90,542.50,246.50,259.80,170.70,186.20,340.40,258.40,2352.10
ANDAMAN & NICOBAR ISLANDS,1920.00,122.30,7.40,3.10,13.00,237.40,546.90,294.40,467.40,505.40,397.50,262.90,85.50,2943.20
ANDAMAN & NICOBAR ISLANDS,1921.00,13.20,3.10,0.00,37.50,351.20,282.70,487.10,330.00,581.20,360.70,118.20,41.50,2606.40
ANDAMAN & NICOBAR ISLANDS,1922.00,245.30,34.30,15.60,323.10,289.70,506.10,425.80,307.40,511.70,162.00,541.00,192.20,3554.20
ANDAMAN & NICOBAR ISLANDS,1923.00,79.50,0.00,NA,91.30,293.50,808.40,636.90,182.20,560.50,131.90,197.40,70.60,NA
ANDAMAN & NICOBAR ISLANDS,1924.00,28.70,0.00,14.80,89.70,191.20,261.20,493.30,290.90,251.20,331.10,378.60,NA,NA
ANDAMAN & NICOBAR ISLANDS,1925.00,36.60,0.00,8.60,50.40,282.20,663.80,241.80,278.20,201.90,249.50,271.50,196.00,2480.50
ANDAMAN & NICOBAR ISLANDS,1926.00,122.10,0.00,0.00,0.50,198.40,370.00,195.30,523.70,719.30,443.80,148.40,560.70,3282.20
ANDAMAN & NICOBAR ISLANDS,1927.00,3.00,17.50,17.80,108.60,504.10,433.30,195.20,370.10,126.20,327.50,274.10,65.50,2442.90
ANDAMAN & NICOBAR ISLANDS,1928.00,50.90,67.60,80.70,129.30,499.50,410.20,406.30,391.50,404.80,444.50,99.50,13.50,2998.30
ANDAMAN & NICOBAR ISLANDS,1929.00,74.20,118.40,129.20,69.80,316.60,588.80,134.00,644.70,172.90,413.00,251.50,13.50,2926.60
ANDAMAN & NICOBAR ISLANDS,1930.00,87.40,105.40,131.20,10.90,231.50,533.60,317.90,446.70,677.20,82.30,249.40,201.60,3075.10
ANDAMAN & NICOBAR ISLANDS,1931.00,25.30,0.00,2.50,2.50,205.40,393.50,289.30,571.00,294.40,368.30,22.80,182.70,2357.70
ANDAMAN & NICOBAR ISLANDS,1932.00,2.80,2.50,10.10,58.20,479.70,NA,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1933.00,4.50,11.70,8.10,58.40,365.40,544.20,376.60,294.10,759.00,239.80,268.80,56.90,2987.50
ANDAMAN & NICOBAR ISLANDS,1934.00,7.30,172.90,6.90,131.40,62.00,708.40,323.50,924.90,761.10,338.10,240.20,46.10,3722.80
ANDAMAN & NICOBAR ISLANDS,1935.00,6.60,0.00,0.50,133.60,726.80,374.10,368.70,411.60,578.90,182.40,275.40,95.40,3154.00
ANDAMAN & NICOBAR ISLANDS,1936.00,16.50,15.30,116.50,NA,194.30,498.30,664.80,562.90,383.80,174.90,199.20,212.20,NA
ANDAMAN & NICOBAR ISLANDS,1937.00,21.60,10.70,0.00,112.00,330.50,732.80,449.50,332.00,349.50,383.30,251.70,617.50,3591.10
ANDAMAN & NICOBAR ISLANDS,1938.00,13.40,57.20,50.50,101.60,368.90,668.60,318.20,397.10,546.70,318.40,316.30,107.50,3264.40
ANDAMAN & NICOBAR ISLANDS,1939.00,54.10,1.50,16.10,77.30,480.50,541.00,335.60,202.80,512.50,263.90,165.90,131.30,2782.50
ANDAMAN & NICOBAR ISLANDS,1940.00,0.50,2.80,59.40,0.00,320.70,335.40,268.10,889.20,477.50,114.10,221.00,318.80,3007.50
ANDAMAN & NICOBAR ISLANDS,1941.00,0.00,12.80,0.00,77.80,251.90,497.00,302.50,311.90,516.00,382.80,266.00,279.50,2898.20
ANDAMAN & NICOBAR ISLANDS,1942.00,39.20,7.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1946.00,84.40,3.60,21.10,135.20,309.10,535.90,189.00,367.40,478.30,276.90,146.90,243.80,2791.60
ANDAMAN & NICOBAR ISLANDS,1947.00,25.10,111.10,63.20,127.70,206.30,965.60,490.00,293.70,NA,376.00,67.50,168.60,NA
ANDAMAN & NICOBAR ISLANDS,1949.00,0.00,56.40,0.00,166.50,405.80,658.40,743.30,404.00,627.50,339.60,81.10,7.00,3489.60
ANDAMAN & NICOBAR ISLANDS,1950.00,0.80,0.00,0.00,95.50,264.20,369.90,366.70,347.30,494.50,224.60,89.30,169.40,2422.20
ANDAMAN & NICOBAR ISLANDS,1951.00,82.70,7.20,0.00,45.40,259.00,619.90,665.30,101.30,360.90,489.00,209.60,434.80,3275.10
ANDAMAN & NICOBAR ISLANDS,1952.00,0.00,0.80,69.70,39.40,452.90,657.70,385.50,541.30,240.30,315.60,287.50,89.20,3079.90
ANDAMAN & NICOBAR ISLANDS,1953.00,56.00,65.30,20.10,159.40,241.10,549.90,444.40,262.80,370.10,243.60,246.00,63.30,2721.90
ANDAMAN & NICOBAR ISLANDS,1954.00,83.80,2.10,34.30,58.00,394.70,539.40,510.80,605.40,763.80,247.20,84.80,124.70,3449.00
ANDAMAN & NICOBAR ISLANDS,1955.00,57.30,28.20,9.90,68.80,663.60,651.10,298.40,356.90,341.80,466.50,362.90,44.20,3349.60
ANDAMAN & NICOBAR ISLANDS,1956.00,49.20,77.20,33.80,130.30,491.80,343.10,468.40,467.70,325.10,458.70,164.10,70.50,3080.00
ANDAMAN & NICOBAR ISLANDS,1957.00,28.00,19.30,4.60,19.00,142.40,741.90,316.20,421.30,354.30,299.70,88.60,71.90,2507.20
ANDAMAN & NICOBAR ISLANDS,1958.00,22.90,14.30,30.40,24.60,355.10,530.70,440.70,388.40,350.60,265.20,313.80,70.70,2807.40
ANDAMAN & NICOBAR ISLANDS,1959.00,10.10,1.80,31.30,86.70,238.10,455.70,817.10,409.30,589.60,332.70,242.50,128.50,3343.30
ANDAMAN & NICOBAR ISLANDS,1960.00,104.20,72.40,12.10,53.50,535.40,541.50,308.40,270.70,442.40,400.00,191.70,92.80,3025.00
ANDAMAN & NICOBAR ISLANDS,1961.00,82.10,99.40,33.20,88.10,973.10,383.30,304.90,557.10,612.00,379.90,280.60,144.50,3938.20
ANDAMAN & NICOBAR ISLANDS,1962.00,152.40,14.90,17.30,46.40,310.40,367.70,409.10,420.60,474.50,259.80,101.70,384.90,2959.70
ANDAMAN & NICOBAR ISLANDS,1963.00,79.90,26.80,7.40,69.50,259.90,434.70,303.30,601.20,614.30,295.50,109.30,179.90,2981.70
ANDAMAN & NICOBAR ISLANDS,1964.00,65.50,21.90,3.10,18.10,530.60,465.30,287.30,472.10,521.20,218.90,349.20,101.60,3054.80
ANDAMAN & NICOBAR ISLANDS,1965.00,11.80,30.40,25.30,51.00,292.30,408.80,392.10,396.60,576.80,290.50,187.90,500.40,3163.80
ANDAMAN & NICOBAR ISLANDS,1966.00,79.80,4.20,12.00,38.70,376.90,148.80,433.50,335.60,454.10,171.90,333.80,311.90,2701.20
ANDAMAN & NICOBAR ISLANDS,1967.00,164.60,21.60,30.00,63.40,516.40,340.80,537.80,614.30,303.50,427.50,99.70,97.00,3216.40
ANDAMAN & NICOBAR ISLANDS,1968.00,22.10,1.30,4.20,81.50,297.60,545.20,519.30,242.00,496.80,281.60,152.00,119.20,2762.80
ANDAMAN & NICOBAR ISLANDS,1969.00,106.30,64.70,14.60,20.80,317.30,422.80,345.20,281.40,489.80,146.80,343.70,65.80,2619.00
ANDAMAN & NICOBAR ISLANDS,1970.00,72.20,34.00,7.80,58.20,422.70,407.30,564.60,342.90,423.50,386.60,418.40,232.70,3370.80
ANDAMAN & NICOBAR ISLANDS,1971.00,41.50,32.80,37.70,35.30,398.00,394.60,421.10,327.90,470.20,505.30,178.40,155.90,2998.60
ANDAMAN & NICOBAR ISLANDS,1972.00,13.70,1.70,7.50,178.30,420.20,470.00,544.60,384.90,444.50,263.80,413.90,180.00,3323.00
ANDAMAN & NICOBAR ISLANDS,1973.00,18.10,20.30,30.50,29.60,418.60,488.60,371.40,370.30,357.50,247.20,349.80,289.10,2991.10
ANDAMAN & NICOBAR ISLANDS,1974.00,22.20,43.90,17.20,301.40,353.30,343.80,257.10,456.20,321.60,398.40,372.20,74.80,2962.00
ANDAMAN & NICOBAR ISLANDS,1975.00,276.90,27.50,8.00,24.20,362.90,706.30,173.60,357.40,351.80,373.60,323.70,99.70,3085.70
ANDAMAN & NICOBAR ISLANDS,1976.00,20.90,9.70,0.60,161.60,551.40,441.40,382.10,487.70,387.00,166.80,307.20,359.60,3276.00
ANDAMAN & NICOBAR ISLANDS,1977.00,79.70,43.20,6.10,6.90,275.30,339.30,341.10,345.50,467.10,263.60,153.30,67.10,2388.20
ANDAMAN & NICOBAR ISLANDS,1978.00,109.60,29.30,18.90,63.40,343.60,462.20,656.60,346.30,310.80,243.70,83.40,44.60,2712.40
ANDAMAN & NICOBAR ISLANDS,1979.00,35.50,9.40,3.90,64.80,146.30,282.80,455.90,173.60,330.20,163.50,169.80,13.60,1849.40
ANDAMAN & NICOBAR ISLANDS,1980.00,5.50,0.80,9.20,38.80,728.40,604.20,575.70,494.40,271.90,252.00,143.70,500.70,3625.30
ANDAMAN & NICOBAR ISLANDS,1981.00,11.10,27.80,1.70,94.10,270.80,600.60,344.10,510.70,452.60,242.10,348.40,170.70,3074.80
ANDAMAN & NICOBAR ISLANDS,1982.00,8.80,2.80,6.60,97.50,229.20,448.70,410.50,347.60,369.00,164.50,238.80,60.50,2384.50
ANDAMAN & NICOBAR ISLANDS,1983.00,22.10,0.00,3.10,9.10,240.80,424.30,468.90,493.80,505.50,275.80,261.00,88.10,2792.40
ANDAMAN & NICOBAR ISLANDS,1984.00,69.40,173.80,26.30,156.60,162.30,424.90,446.40,125.80,283.60,347.10,158.90,445.20,2820.30
ANDAMAN & NICOBAR ISLANDS,1985.00,12.00,19.20,24.10,55.00,278.10,588.40,230.90,375.20,362.50,358.90,232.10,94.40,2630.80
ANDAMAN & NICOBAR ISLANDS,1986.00,14.80,0.60,1.50,8.20,302.60,312.20,308.50,444.00,408.90,176.10,163.50,47.00,2187.80
ANDAMAN & NICOBAR ISLANDS,1987.00,72.40,35.20,20.40,17.70,162.90,343.70,45.30,666.50,378.90,373.40,313.40,334.10,2764.00
ANDAMAN & NICOBAR ISLANDS,1988.00,10.20,39.90,28.00,82.70,427.50,357.40,495.60,354.20,603.30,271.40,583.00,69.90,3323.00
ANDAMAN & NICOBAR ISLANDS,1989.00,56.00,12.80,68.10,42.60,379.30,414.90,380.10,413.20,215.90,291.80,255.00,4.00,2533.60
ANDAMAN & NICOBAR ISLANDS,1990.00,13.40,0.20,24.60,87.50,424.60,291.00,213.20,293.30,310.40,133.60,291.10,100.30,2183.40
ANDAMAN & NICOBAR ISLANDS,1991.00,14.10,3.80,28.00,132.90,191.30,165.70,547.20,486.50,489.90,287.60,130.10,58.50,2535.80
ANDAMAN & NICOBAR ISLANDS,1992.00,75.90,10.90,0.00,5.10,241.70,392.00,348.20,372.30,323.70,257.30,64.30,7.20,2098.70
ANDAMAN & NICOBAR ISLANDS,1993.00,14.90,0.00,129.90,43.70,181.40,257.10,391.70,226.70,437.00,299.30,189.00,66.70,2237.40
ANDAMAN & NICOBAR ISLANDS,1994.00,7.20,35.50,129.40,154.60,403.20,386.30,569.70,460.50,775.10,137.50,180.30,23.80,3262.80
ANDAMAN & NICOBAR ISLANDS,1995.00,51.80,12.50,12.10,21.10,314.80,450.40,501.40,555.80,426.40,294.70,452.90,21.60,3115.40
ANDAMAN & NICOBAR ISLANDS,1996.00,52.20,4.80,3.40,122.70,298.00,559.20,335.50,328.00,541.60,318.50,254.20,178.80,2996.90
ANDAMAN & NICOBAR ISLANDS,1997.00,9.50,0.00,0.20,15.60,281.10,199.50,918.50,430.60,440.20,128.70,292.80,38.40,2755.10
ANDAMAN & NICOBAR ISLANDS,1998.00,0.90,0.00,0.00,0.00,348.90,600.00,364.50,258.90,337.80,618.60,227.80,89.00,2846.40
ANDAMAN & NICOBAR ISLANDS,1999.00,46.80,44.60,14.20,270.60,257.40,295.00,408.50,329.20,325.30,437.50,124.90,145.70,2699.70
ANDAMAN & NICOBAR ISLANDS,2000.00,53.00,59.00,171.30,218.10,422.80,357.00,176.30,460.80,250.10,321.20,158.30,115.20,2763.20
ANDAMAN & NICOBAR ISLANDS,2001.00,89.00,15.70,143.30,30.10,705.30,370.70,341.30,469.00,334.40,267.60,222.60,91.80,3080.90
ANDAMAN & NICOBAR ISLANDS,2002.00,10.60,0.00,11.50,100.20,366.70,358.30,317.40,429.80,420.00,169.00,306.70,129.90,2620.20
ANDAMAN & NICOBAR ISLANDS,2003.00,44.30,7.90,149.20,19.40,296.30,159.90,494.90,379.40,371.90,310.40,74.10,48.00,2355.90
ANDAMAN & NICOBAR ISLANDS,2004.00,54.50,35.90,36.50,41.60,505.10,423.90,378.90,308.70,280.70,223.90,169.90,0.40,2460.10
ANDAMAN & NICOBAR ISLANDS,2005.00,0.00,0.00,20.30,51.10,305.30,452.40,429.30,311.10,507.50,293.50,300.10,283.90,2954.70
ANDAMAN & NICOBAR ISLANDS,2006.00,16.30,14.40,48.90,163.70,321.40,366.00,182.70,219.60,546.50,374.70,76.10,74.40,2404.70
ANDAMAN & NICOBAR ISLANDS,2007.00,4.90,1.60,5.00,54.60,370.00,378.30,463.20,465.30,486.40,209.40,223.90,85.60,2748.00
ANDAMAN & NICOBAR ISLANDS,2008.00,9.90,67.70,115.80,216.10,545.50,457.80,511.20,482.10,332.00,243.70,321.10,72.00,3374.80
ANDAMAN & NICOBAR ISLANDS,2009.00,24.50,6.30,44.20,136.50,313.10,633.50,297.30,351.50,344.70,272.80,66.20,48.00,2538.60
ANDAMAN & NICOBAR ISLANDS,2010.00,101.70,8.00,0.70,12.50,319.00,448.90,521.90,563.80,263.30,402.40,268.50,246.40,3157.10
ANDAMAN & NICOBAR ISLANDS,2011.00,265.90,84.80,272.80,111.40,326.50,383.20,583.20,441.50,757.10,212.30,150.80,238.50,3828.00
ANDAMAN & NICOBAR ISLANDS,2012.00,119.90,45.60,30.90,55.80,533.90,458.20,317.30,369.60,868.90,209.70,300.50,187.30,3497.60
ANDAMAN & NICOBAR ISLANDS,2013.00,67.10,37.60,43.00,46.30,509.30,777.00,564.80,336.70,473.60,455.80,354.20,92.30,3757.80
ANDAMAN & NICOBAR ISLANDS,2014.00,41.90,8.60,0.00,11.10,238.00,416.60,467.60,321.60,412.90,402.60,201.20,100.40,2622.40
ANDAMAN & NICOBAR ISLANDS,2015.00,126.80,7.60,3.10,138.20,331.90,346.40,328.90,480.00,523.30,252.10,236.30,129.90,2904.60
ARUNACHAL PRADESH,1916.00,48.10,69.80,71.10,316.10,424.60,1124.90,NA,629.70,333.90,NA,NA,NA,NA
ARUNACHAL PRADESH,1917.00,21.40,164.50,NA,269.60,107.90,823.80,909.10,628.40,411.50,199.30,63.50,0.00,NA
ARUNACHAL PRADESH,1918.00,10.40,11.00,191.20,144.60,861.10,1609.90,1303.00,692.60,515.80,125.20,7.80,13.70,5486.30
